Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Channel,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,0,1,1,0,0,0,"June 05, 2022",Direct,1843,1843,0.69,571,15,0.006145251
0,0,1,1,0,0,0,"June 05, 2022",Display OA,1252,1252,1,0,8,0
0,0,1,1,0,0,0,"June 05, 2022",Unknown Channel,538,538,1,0,5,0
0,0,1,1,0,0,0,"June 05, 2022",Social Paid,262,262,1,0,8,0
1,1,0,0,0,0,0,"June 05, 2022",Referring Domains,21938,12020,0.64,7910,440,0.15959399
1,1,0,0,0,0,0,"June 05, 2022",Display OA,13283,7233,0.33,8885,234,0.541498053
1,1,0,0,0,0,0,"June 05, 2022",Natural Search,10974,7137,0.56,4868,281,0.221161192
1,1,0,0,0,0,0,"June 05, 2022",Unknown Channel,4818,4242,0.25,3636,103,0.323460969
1,1,0,0,0,0,0,"June 05, 2022",Paid Search,2154,1808,0.48,1119,219,0.307163886
1,1,0,0,0,0,0,"June 05, 2022",Direct,1475,1094,0.5,742,220,0.266440678
1,1,0,0,0,0,0,"June 05, 2022",Social Networks,1385,1158,0.32,936,138,0.382440476
1,1,0,0,0,0,0,"June 05, 2022",Social Paid,800,727,0.31,554,143,0.324050633
1,1,0,0,0,0,1,"June 05, 2022",Referring Domains,475,408,0.83,79,107,0.266423358
1,1,0,0,0,0,1,"June 05, 2022",Natural Search,11,10,1,0,1393,0
1,1,0,0,0,0,1,"June 05, 2022",Social Networks,1,1,1,0,0,0
1,1,0,0,0,0,1,"June 05, 2022",Direct,1,1,0,1,0,0.083333333
1,1,0,0,0,0,1,"June 05, 2022",Display OA,0,0,0,0,0,0
1,1,0,0,0,0,1,"June 05, 2022",Unknown Channel,0,0,0,0,0,0
1,1,0,0,0,0,1,"June 05, 2022",Paid Search,0,0,0,0,0,0
1,1,0,0,0,0,1,"June 05, 2022",Social Paid,0,0,0,0,0,0
1,1,0,0,0,1,0,"June 05, 2022",Referring Domains,8378,5260,0.85,1279,731,0.001010782
1,1,0,0,0,1,0,"June 05, 2022",Natural Search,3245,2272,0.92,252,506,0.000332336
1,1,0,0,0,1,0,"June 05, 2022",Paid Search,380,336,0.98,9,351,0
1,1,0,0,0,1,0,"June 05, 2022",Display OA,372,342,0.93,25,217,0
1,1,0,0,0,1,0,"June 05, 2022",Unknown Channel,351,338,0.98,6,97,0
