Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Carline,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
0,0,1,0,1,0,0,"June 05, 2022",Crafter Furgon,121,121,0.84,19,26,0.105263158
0,0,1,0,1,0,0,"June 05, 2022",Caddy Cargo,74,74,0.97,2,37,0.25
0,0,1,0,1,0,0,"June 05, 2022",Crafter,59,59,0.59,24,17,0.032258065
0,0,1,0,1,0,0,"June 05, 2022",Multivan 6.1 Edition,58,58,0.98,1,39,0
0,0,1,0,1,0,0,"June 05, 2022",Transporter 6.1 Kombi,50,50,0.94,3,31,0.2
0,0,1,0,1,0,0,"June 05, 2022",Transporter Delivery Van,21,21,0.86,3,24,0
0,0,1,0,1,0,0,"June 05, 2022",Transporter 6.1 Skrzyniowy,18,18,0.94,1,14,0.5
0,0,1,0,1,0,0,"June 05, 2022",Caravelle,17,17,0.88,2,15,0.25
0,0,1,0,1,0,0,"June 05, 2022",Crafter Delivery Van,16,16,0.81,3,10,0
0,0,1,0,1,0,0,"June 05, 2022",Crafter Podwozie,11,11,1,0,26,0
0,0,1,0,1,0,0,"June 05, 2022",Amarok,10,10,0.7,3,29,1
0,0,1,0,1,0,0,"June 05, 2022",Crafter Skrzyniowy,10,10,0.8,2,15,0.5
0,0,1,0,1,0,0,"June 05, 2022",Transporter Kombi,7,7,0.71,2,14,0
0,0,1,0,1,0,0,"June 05, 2022",Transporter Dropside Van,2,2,1,0,16,0
0,0,1,0,1,0,0,"June 05, 2022",Crafter Chassis,2,2,1,0,10,0
0,0,1,0,1,0,0,,,,,,,,
0,0,1,0,1,0,0,,,,,,,,
0,0,1,0,1,0,0,,,,,,,,
0,0,1,0,1,0,0,,,,,,,,
0,0,1,0,1,0,0,,,,,,,,
0,0,1,0,1,0,0,,,,,,,,
0,0,1,1,0,0,0,"June 05, 2022",::unspecified::,5197,5197,0.77,1180,7,0.00343157
0,0,1,1,0,0,0,"June 05, 2022",Multivan 6.1,13,13,1,0,14,0
0,0,1,1,0,0,0,"June 05, 2022",California 6.1,4,4,1,0,1,0
0,0,1,1,0,0,0,"June 05, 2022",Multivan,3,3,1,0,2,0
0,0,1,1,0,0,0,"June 05, 2022",Caddy California,3,3,1,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Transporter 6.1 Furgon,2,2,1,0,2,0
0,0,1,1,0,0,0,"June 05, 2022",Caddy Cargo,2,2,1,0,1,0
0,0,1,1,0,0,0,"June 05, 2022",Caddy,1,1,1,0,1,0
0,0,1,1,0,0,0,"June 05, 2022",Caravelle 6.1,1,1,1,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Transporter 6.1 Skrzyniowy,1,1,1,0,1,0
0,0,1,1,0,0,0,"June 05, 2022",Crafter Furgon,0,0,0,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",California,0,0,0,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Transporter Delivery Van,0,0,0,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Crafter,0,0,0,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Crafter Delivery Van,0,0,0,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Caravelle,0,0,0,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Transporter 6.1 Kombi,0,0,0,0,0,0
0,0,1,1,0,0,0,"June 05, 2022",Crafter Podwozie,0,0,0,0,0,0
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
0,0,1,1,0,0,0,,,,,,,,
1,1,0,0,0,0,0,"June 05, 2022",::unspecified::,5698,4625,0.36,3657,158,0.313387242
1,1,0,0,0,0,0,"June 05, 2022",Multivan,172,109,0.77,40,502,0.178571429
1,1,0,0,0,0,0,"June 05, 2022",California 6.1,147,108,0.63,54,189,0.276595745
1,1,0,0,0,0,0,"June 05, 2022",Caravelle 6.1,86,40,0.66,29,556,0.216216216
1,1,0,0,0,0,0,"June 05, 2022",Caddy,83,70,0.67,27,367,0.192307692
1,1,0,0,0,0,0,"June 05, 2022",California,79,75,0.84,13,185,0.263157895
1,1,0,0,0,0,0,"June 05, 2022",Caddy California,78,70,0.81,15,198,0.384615385
1,1,0,0,0,0,0,"June 05, 2022",Transporter 6.1 Furgon,46,36,0.87,6,339,0.133333333
1,1,0,0,0,0,0,"June 05, 2022",Multivan 6.1,46,39,0.8,9,232,0
